kriId,riskId,name,description,formula,unit,frequency,dataSource,automated,thresholdGreen,thresholdAmber,thresholdRed,tier,framework
KRI-056,R-22,Alert Investigation Time,Mean time to investigate security alerts,Average time from alert to investigation start,Minutes,WEEKLY,SIEM / SOAR,True,<15 min,15-60 min,>60 min,CORE,ISO
KRI-057,R-22,NTP Synchronization Compliance,Percentage of systems synchronized to authorized time source,(Synchronized systems / Total systems) × 100,%,MONTHLY,Configuration Management,True,100%,95-99%,<95%,ADVANCED,ISO
KRI-058,R-23,Mean Time to Detect (MTTD),Average time to detect security incidents,Mean time from incident start to detection,Hours,QUARTERLY,Incident Management System,False,<24 hours,24-72 hours,>72 hours,CORE,ISO
KRI-059,R-23,Mean Time to Respond (MTTR),Average time to contain security incidents,Mean time from detection to containment,Hours,QUARTERLY,Incident Management System,False,<4 hours,4-12 hours,>12 hours,CORE,ISO
KRI-060,R-23,Incident Response Plan Test Currency,Days since last IR plan tabletop or simulation,Days since last IR exercise,Days,QUARTERLY,IR Documentation,False,<180 days,180-365 days,>365 days,CORE,ISO
KRI-061,R-24,Backup Success Rate,Percentage of scheduled backups completed successfully,(Successful backups / Scheduled backups) × 100,%,WEEKLY,Backup System,True,≥99%,95-98%,<95%,CORE,ISO
KRI-062,R-24,Backup Recovery Test Success,Percentage of backup recovery tests completed successfully,(Successful restore tests / Total restore tests) × 100,%,QUARTERLY,Backup System / Test Records,False,100%,90-99%,<90%,CORE,ISO
KRI-063,R-24,DR Test Currency,Days since last DR failover test,Days since last DR test,Days,QUARTERLY,DR Test Records,False,<180 days,180-365 days,>365 days,CORE,ISO
KRI-064,R-24,RTO Achievement Rate,Percentage of systems meeting defined RTO in tests/incidents,(Systems meeting RTO / Systems with defined RTO) × 100,%,QUARTERLY,DR Test Results,False,100%,90-99%,<90%,CORE,ISO
KRI-065,R-25,Privacy Impact Assessment Completion,Percentage of new processing activities with completed DPIA,(Completed DPIAs / Required DPIAs) × 100,%,QUARTERLY,Privacy Management System,False,100%,90-99%,<90%,CORE,ISO
KRI-066,R-25,Data Subject Request Response Time,Average time to respond to data subject requests,Mean days to complete DSR,Days,MONTHLY,Privacy Management System,True,<15 days,15-25 days,>25 days,CORE,ISO
KRI-067,R-25,Audit Finding Closure Rate,Percentage of audit findings closed within agreed timeframe,(Findings closed on time / Total findings due) × 100,%,QUARTERLY,GRC System,False,≥90%,75-89%,<75%,CORE,ISO
KRI-068,R-25,Open High-Risk Audit Findings,Count of high-risk audit findings open beyond due date,Count of overdue high-risk findings,Count,MONTHLY,GRC System,True,0,1-3,>3,CORE,ISO
